Station,Cast,Pin,Time,Depth
1,1,1,16:00:40,52
1,1,2,16:08:00,50
1,1,3,16:09:06,40
1,1,4,16:10:06,30
1,1,5,16:11:06,20
1,1,6,16:11:56,10
1,1,7,16:12:23,5
2,1,1,19:40:54,72
2,1,2,19:46:39,60
2,1,3,19:47:46,50
2,1,4,19:48:55,40
2,1,5,19:50:04,31
2,1,6,19:50:39,25
2,1,7,19:51:15,20
2,1,8,19:51:49,15
2,1,9,19:52:22,10
2,1,10,19:52:56,5
3,1,1,09:22:22,88
3,1,2,09:22:37,88
3,1,3,09:40:25,83
3,1,4,09:40:42,80
3,1,5,09:41:03,75
3,1,6,09:42:13,59
3,1,7,09:42:33,55
3,1,8,09:42:55,50
3,1,9,09:43:14,45
3,1,10,09:43:21,44
3,2,1,11:46:34,83
3,2,2,11:48:15,29
3,2,3,11:48:46,19
3,2,4,11:49:02,15
3,2,5,11:49:17,10
4,1,1,07:58:37,116
4,1,2,08:03:55,110
4,1,3,08:04:35,101
4,1,4,08:05:17,90
4,1,5,08:06:39,70
4,1,6,08:07:37,55
4,1,7,08:08:16,45
4,1,8,08:08:52,35
4,1,9,08:09:11,30
4,1,10,08:10:26,10
4.5,1,1,15:18:24,273
4.5,1,2,15:22:56,270
4.5,1,3,15:24:27,240
4.5,1,4,15:25:58,209
4.5,1,5,15:27:33,180
4.5,1,6,15:28:23,164
4.5,1,7,15:29:34,142
4.5,1,8,15:30:26,126
4.5,1,9,15:32:41,80
4.5,1,10,15:33:42,60
4.5,2,1,20:43:12,40
4.5,2,2,20:43:56,30
4.5,2,3,20:44:38,20
4.5,2,4,20:45:24,10
7,1,1,23:17:50,399
7,1,2,23:23:00,389
7,1,3,23:26:32,340
7,1,4,23:32:37,259
7,1,5,23:36:42,201
7,1,6,23:40:40,140
7,1,7,23:44:38,81
7,1,8,23:45:49,60
7,1,9,23:46:53,45
7,1,10,23:48:49,10
7.5,1,1,14:04:47,554
7.5,1,2,14:08:54,549
7.5,1,3,14:09:21,540
7.5,1,4,14:14:08,450
7.5,1,5,14:18:22,370
7.5,1,6,14:21:34,309
7.5,1,7,14:26:19,220
7.5,1,8,14:30:01,150
7.5,1,9,14:34:58,60
7.5,1,10,14:38:32,15
13,1,1,14:13:27,499
13,1,2,14:18:49,399
13,1,3,14:24:05,299
13,1,4,14:26:10,261
13,1,5,14:28:22,220
13,1,6,14:29:24,199
13,1,7,14:32:05,149
13,1,8,14:34:42,100
13,1,9,14:37:50,40
13,1,10,14:42:19,10
13,2,1,18:49:15,2804
13,2,2,18:56:52,2699
13,2,3,19:06:41,2400
13,2,4,19:19:33,1999
13,2,5,19:35:55,1500
13,2,6,19:46:01,1200
13,2,7,19:56:00,899
13,2,8,19:59:20,800
13,2,9,20:02:38,699
13,2,10,20:05:55,600
14,1,1,10:35:43,2520
14,1,2,10:45:11,2399
14,1,3,10:52:23,2199
14,1,4,11:02:59,1900
14,1,5,11:19:41,1500
14,1,6,11:29:25,1199
14,1,7,11:39:05,900
14,1,8,11:42:22,800
14,1,9,11:45:38,699
14,1,10,11:48:52,599
14,2,1,16:00:43,1308
14,2,2,16:04:43,424
14,2,3,16:08:36,350
14,2,4,16:11:08,299
14,2,5,16:14:32,229
14,2,6,16:18:27,149
14,2,7,16:19:56,119
14,2,8,16:21:51,80
14,2,9,16:23:59,50
14,2,10,16:25:58,10
15,1,1,07:37:36,2028
15,1,2,07:55:06,1750
15,1,3,08:07:19,1500
15,1,4,08:18:49,1250
15,1,5,08:30:41,1000
15,1,6,08:35:19,900
15,1,7,08:39:56,800
15,1,8,08:44:31,700
15,1,9,08:49:05,600
15,1,10,08:53:20,500
15,2,1,14:38:52,400
15,2,2,14:44:01,300
15,2,3,14:47:34,230
15,2,4,14:49:01,201
15,2,5,14:51:34,150
15,2,6,14:54:06,100
15,2,7,14:56:02,75
15,2,8,14:58:00,40
15,2,9,14:58:51,26
15,2,10,14:59:44,10
17,1,1,07:27:59,2495
17,1,2,07:34:43,2400
