File,Pin,Time,Depth
cast 1 sta 1,1,16:00:40,52
cast 1 sta 1,2,16:08:00,50
cast 1 sta 1,3,16:09:06,40
cast 1 sta 1,4,16:10:06,30
cast 1 sta 1,5,16:11:06,20
cast 1 sta 1,6,16:11:56,10
cast 1 sta 1,7,16:12:23,5
cast 1 sta 2,1,19:40:54,72
cast 1 sta 2,2,19:46:39,60
cast 1 sta 2,3,19:47:46,50
cast 1 sta 2,4,19:48:55,40
cast 1 sta 2,5,19:50:04,31
cast 1 sta 2,6,19:50:39,25
cast 1 sta 2,7,19:51:15,20
cast 1 sta 2,8,19:51:49,15
cast 1 sta 2,9,19:52:22,10
cast 1 sta 2,10,19:52:56,5
cast 1 sta 3,1,09:22:22,88
cast 1 sta 3,2,09:22:37,88
cast 1 sta 3,3,09:40:25,83
cast 1 sta 3,4,09:40:42,80
cast 1 sta 3,5,09:41:03,75
cast 1 sta 3,6,09:42:13,59
cast 1 sta 3,7,09:42:33,55
cast 1 sta 3,8,09:42:55,50
cast 1 sta 3,9,09:43:14,45
cast 1 sta 3,10,09:43:21,44
cast 1 sta 4,1,07:58:37,116
cast 1 sta 4,2,08:03:55,110
cast 1 sta 4,3,08:04:35,101
cast 1 sta 4,4,08:05:17,90
cast 1 sta 4,5,08:06:39,70
cast 1 sta 4,6,08:07:37,55
cast 1 sta 4,7,08:08:16,45
cast 1 sta 4,8,08:08:52,35
cast 1 sta 4,9,08:09:11,30
cast 1 sta 4,10,08:10:26,10
cast 1 sta 7,1,23:17:50,399
cast 1 sta 7,2,23:23:00,389
cast 1 sta 7,3,23:26:32,340
cast 1 sta 7,4,23:32:37,259
cast 1 sta 7,5,23:36:42,201
cast 1 sta 7,6,23:40:40,140
cast 1 sta 7,7,23:44:38,81
cast 1 sta 7,8,23:45:49,60
cast 1 sta 7,9,23:46:53,45
cast 1 sta 7,10,23:48:49,10
cast 2 sta 3,1,11:46:34,83
cast 2 sta 3,2,11:48:15,29
cast 2 sta 3,3,11:48:46,19
cast 2 sta 3,4,11:49:02,15
cast 2 sta 3,5,11:49:17,10
cast 1 sta 13,1,14:13:27,499
cast 1 sta 13,2,14:18:49,399
cast 1 sta 13,3,14:24:05,299
cast 1 sta 13,4,14:26:10,261
cast 1 sta 13,5,14:28:22,220
cast 1 sta 13,6,14:29:24,199
cast 1 sta 13,7,14:32:05,149
cast 1 sta 13,8,14:34:42,100
cast 1 sta 13,9,14:37:50,40
cast 1 sta 13,10,14:42:19,10
cast 1 sta 14,1,10:35:43,2520
cast 1 sta 14,2,10:45:11,2399
cast 1 sta 14,3,10:52:23,2199
cast 1 sta 14,4,11:02:59,1900
cast 1 sta 14,5,11:19:41,1500
cast 1 sta 14,6,11:29:25,1199
cast 1 sta 14,7,11:39:05,900
cast 1 sta 14,8,11:42:22,800
cast 1 sta 14,9,11:45:38,699
cast 1 sta 14,10,11:48:52,599
cast 1 sta 15,1,07:37:36,2028
cast 1 sta 15,2,07:55:06,1750
cast 1 sta 15,3,08:07:19,1500
cast 1 sta 15,4,08:18:49,1250
cast 1 sta 15,5,08:30:41,1000
cast 1 sta 15,6,08:35:19,900
cast 1 sta 15,7,08:39:56,800
cast 1 sta 15,8,08:44:31,700
cast 1 sta 15,9,08:49:05,600
cast 1 sta 15,10,08:53:20,500
cast 1 sta 17,1,07:27:59,2495
cast 1 sta 17,2,07:34:43,2400
